ID,SLUG,EQUIPO_ID,SEMANA,PUNTOS_TOTALES,MIN_JUGADOS,GOLES,ASISTENCIAS_GOL,ASISTENCIAS_SIN_GOL,LLEGADAS_AREA,PENALTIS_PROVOCADOS,PENALTIS_PARADOS,PARADAS,DESPEJES,PENALTIS_FALLADOS,GOLES_EN_PROPIA,GOLES_EN_CONTRA,TARJETAS_AMARILLAS,SEGUNDAS_AMARILLAS,TARJETAS_ROJAS,TIROS_A_PUERTA,REGATES,BALONES_RECUPERADOS,POSESIONES_PERDIDAS,PUNTOS_MARCA,MIN_JUGADOS_PUNTOS,GOLES_PUNTOS,ASISTENCIAS_GOL_PUNTOS,ASISTENCIAS_SIN_GOL_PUNTOS,LLEGADAS_AREA_PUNTOS,PENALTIS_PROVOCADOS_PUNTOS,PENALTIS_PARADOS_PUNTOS,PARADAS_PUNTOS,DESPEJES_PUNTOS,PENALTIS_FALLADOS_PUNTOS,GOLES_EN_PROPIA_PUNTOS,GOLES_EN_CONTRA_PUNTOS,TARJETAS_AMARILLAS_PUNTOS,SEGUNDAS_AMARILLAS_PUNTOS,TARJETAS_ROJAS_PUNTOS,TIROS_A_PUERTA_PUNTOS,REGATES_PUNTOS,BALONES_RECUPERADOS_PUNTOS,POSESIONES_PERDIDAS_PUNTOS,PUNTOS_MARCA_PUNTOS
53,oblak,ATM,1,4,90,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,13,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,1
53,oblak,ATM,2,9,90,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,3,-1,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1
53,oblak,ATM,3,2,90,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,1
53,oblak,ATM,4,6,90,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,8,2,-1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
53,oblak,ATM,5,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,-1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,-1,1
53,oblak,ATM,6,2,90,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,8,7,-1,2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,1,0,1
53,oblak,ATM,7,4,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,6,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
53,oblak,ATM,8,8,90,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,21,-1,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,-2,2
53,oblak,ATM,10,2,90,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,2,-1,2,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,1,0,0
53,oblak,ATM,11,1,90,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,9,8,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,-1,1
53,oblak,ATM,12,8,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,-1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,-1,2
53,oblak,ATM,13,2,90,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,5,9,-1,2,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,1,-1,1
53,oblak,ATM,14,10,90,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,8,4,-1,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,2
53,oblak,ATM,15,4,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
53,oblak,ATM,16,1,90,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,6,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1
53,oblak,ATM,17,0,90,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,3,12,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-1,1
53,oblak,ATM,18,0,90,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,20,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,-2,1
53,oblak,ATM,9,2,90,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,6,-1,2,0,0,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,1,0,0
53,oblak,ATM,19,8,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,-1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,-1,1
53,oblak,ATM,20,5,90,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,6,16,-1,2,0,0,0,0,0,5,0,0,0,0,-2,0,0,0,0,0,1,-2,1
53,oblak,ATM,22,1,90,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,13,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,-1,1
53,oblak,ATM,23,-2,90,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,9,-1,2,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,1,-1,0
53,oblak,ATM,24,1,90,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,7,13,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,-1,1
53,oblak,ATM,21,6,90,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,15,19,-1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,-2,1
53,oblak,ATM,25,10,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,27,-1,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,-3,3
55,gimenez,ATM,1,5,90,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,8,3,-1,2,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,1,0,1
55,gimenez,ATM,2,9,90,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,7,4,-1,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,2
55,gimenez,ATM,3,2,88,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,5,-1,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,1
55,gimenez,ATM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,gimenez,ATM,5,6,90,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,6,-1,2,0,0,0,0,0,0,0,1,0,0,3,-1,0,0,0,0,0,0,1
55,gimenez,ATM,6,4,90,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,8,7,-1,2,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,1
55,gimenez,ATM,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,gimenez,ATM,8,10,90,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,2,-1,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2
55,gimenez,ATM,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,gimenez,ATM,11,-1,90,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,8,-1,2,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,-1,1
55,gimenez,ATM,12,8,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,-1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2
55,gimenez,ATM,13,6,90,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,7,7,-1,2,0,0,0,0,0,0,0,4,0,0,-2,0,0,0,0,0,1,0,1
55,gimenez,ATM,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,gimenez,ATM,15,2,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,gimenez,ATM,19,8,90,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,5,7,-1,2,0,0,0,0,0,0,0,1,0,0,3,-1,0,0,0,0,1,0,2
55,gimenez,ATM,22,2,90,0,0,0,0,0,0,0,6,0,0,2,1,0,0,0,1,3,6,-1,2,0,0,0,0,0,0,0,2,0,0,-2,-1,0,0,0,0,0,0,1
55,gimenez,ATM,23,6,90,0,1,1,0,0,0,0,6,0,0,4,0,0,0,0,0,8,3,-1,2,0,3,1,0,0,0,0,2,0,0,-4,0,0,0,0,0,1,0,1
55,gimenez,ATM,21,2,90,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,4,11,-1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0
55,gimenez,ATM,25,2,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,savic,ATM,1,5,90,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,5,8,-1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,2
56,savic,ATM,2,5,90,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,10,-1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-1,1
56,savic,ATM,3,2,90,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,8,-1,2,0,0,0,0,0,0,0,1,0,0,-2,0,0,0,0,0,1,-1,1
56,savic,ATM,4,2,90,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
56,savic,ATM,5,6,90,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,4,4,-1,2,0,0,0,0,0,0,0,1,0,0,3,-1,0,0,0,0,0,0,1
56,savic,ATM,6,2,90,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,3,11,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
56,savic,ATM,7,2,90,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,5,12,-1,2,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,-1,0
